project_id,rank,kpi_id,category,score,decision,reason,margin,shared_terms,data_kind
bins,1,waste,environment,0.904250747773,review_candidate,candidate_requires_review,0.904250747773,"[{""contribution"": 0.200944610616, ""term"": ""recycling""}, {""contribution"": 0.200944610616, ""term"": ""waste""}, {""contribution"": 0.100472305308, ""term"": ""bins""}, {""contribution"": 0.100472305308, ""term"": ""collection""}, {""contribution"": 0.100472305308, ""term"": ""landfill""}, {""contribution"": 0.100472305308, ""term"": ""material""}, {""contribution"": 0.100472305308, ""term"": ""recovery""}]",synthetic
bins,2,digital,administration,0.0,review_candidate,candidate_requires_review,0.904250747773,[],synthetic
bins,3,energy,utilities,0.0,review_candidate,candidate_requires_review,0.904250747773,[],synthetic
blank,1,digital,administration,0.0,abstain,empty_text,0.0,[],synthetic
blank,2,energy,utilities,0.0,abstain,empty_text,0.0,[],synthetic
blank,3,mobility,transport,0.0,abstain,empty_text,0.0,[],synthetic
crossings,1,mobility,transport,0.716960299154,review_candidate,candidate_requires_review,0.716960299154,"[{""contribution"": 0.119493383192, ""term"": ""bicycle""}, {""contribution"": 0.119493383192, ""term"": ""crossings""}, {""contribution"": 0.119493383192, ""term"": ""cycling""}, {""contribution"": 0.119493383192, ""term"": ""lanes""}, {""contribution"": 0.119493383192, ""term"": ""pedestrian""}, {""contribution"": 0.119493383192, ""term"": ""walking""}]",synthetic
crossings,2,digital,administration,0.0,review_candidate,candidate_requires_review,0.716960299154,[],synthetic
crossings,3,energy,utilities,0.0,review_candidate,candidate_requires_review,0.716960299154,[],synthetic
crossings_copy,1,mobility,transport,0.716960299154,review_candidate,candidate_requires_review,0.716960299154,"[{""contribution"": 0.119493383192, ""term"": ""bicycle""}, {""contribution"": 0.119493383192, ""term"": ""crossings""}, {""contribution"": 0.119493383192, ""term"": ""cycling""}, {""contribution"": 0.119493383192, ""term"": ""lanes""}, {""contribution"": 0.119493383192, ""term"": ""pedestrian""}, {""contribution"": 0.119493383192, ""term"": ""walking""}]",synthetic
crossings_copy,2,digital,administration,0.0,review_candidate,candidate_requires_review,0.716960299154,[],synthetic
crossings_copy,3,energy,utilities,0.0,review_candidate,candidate_requires_review,0.716960299154,[],synthetic
